Seniority;Status;Category;FirstDiv_Cat;SecondDiv_Cat;RFEF1_Cat;RFEF2_Cat;RFEF3_Cat;Preferent_Cat;Regional1_Cat;Regional2_Cat;Regional3_Cat;Junior_Cat;Male;YearBorn;MadridBorn;Spanish;Office;MadridOf;AlcalaOf;AranjuezOf;StartYear;StartAge;DropYear;DropAge;talent;Motive_To_Start;MTSFeltinterestedbyrefereeing;MTSMyfriendsfamilydid;MTSToearnsomemoney;MTSTopracticesomesport;MTSTocontinueinfootball;MTSAmotivatingchallenge;MTSForbeingasocialactivity;Risk_To_Leave;RTLSufferingagression;RTLLackofphysicalcondition;RTLDissapointmentfornothaving;RTLPersonalIncompatibility;RTLProfessionalIncompatibility;RTLLossofinterest;RTLScarcefollowupbytheCommi;RTLRequirementsphysicalortes;RTLDissagreementwithCommittee;RTLInsufficientremuneration;RTLDemotion;RTLUnfairpromotions;Friend_or_Relative;Player_or_Coach;Player_or_CoachYes;Player_or_CoachYesbelowregional;Player_or_CoachNo;Vocation;VocationVocationatstart;Motives_to_Continue;Motives_to_ContinuePromotionexp;Motives_to_ContinueExtraincome;Motives_to_ContinueRefereesocia;Motives_to_ContinueTreatmentby;Motives_to_ContinueExictementto;Motives_to_ContinueRelationship;Motives_to_ContinueMotivationfo;Motives_to_ContinueParticipatei;Ready_to_Promote;Ready_to_PromoteReadytopromote;Ready_to_PromoteNotreadytopro;Ready_to_PromoteNotsureifread;Safety;SafetyNo;SafetyRarely;SafetySometimes;SafetyManytimes;Avoidable_Drop;Avoidable_DropStillactive;Avoidable_DropItcouldhavebeen;Avoidable_DropPersonalreasons;Avoidable_DropNotsure;SupportProgram_part;SupportProgram_partYes;SupportProgram_partNobutIwou;SupportProgram_partNoandnoti;SupportProgram_partPrefernotan;Dependants;DependantsYes;Education_Level;Education_LevelPrefernotanswer;Education_LevelPhDormaster;Education_LevelGrade;Education_LevelSecondaryeducati;Education_LevelComplulsorysecon;Education_LevelBasiceducation;Education_LevelNobasiceducatio
0;1;10;0;0;0;0;0;0;0;0;0;1;1;2006;1;1;MADRID;1;0;0;2021;15;0;;0;B;0;1;0;0;0;0;0;C;0;0;1;0;0;0;0;0;0;0;0;0;1;B;0;1;0;A;1;E - F - H;0;0;0;0;1;1;0;1;A;1;0;0;A;1;0;0;0;C;0;0;1;0;C;0;0;1;0;B;0;3;0;0;0;0;1;0;0
0;1;10;0;0;0;0;0;0;0;0;0;1;1;2000;1;1;MADRID;1;0;0;2021;21;0;;0;A;1;0;0;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;1;0;1;A;1;0;0;A;1;A;1;0;0;0;0;0;0;0;A;1;0;0;B;0;1;0;0;A;1;0;0;0;B;0;1;0;0;B;0;5;0;0;1;0;0;0;0
0;1;10;0;0;0;0;0;0;0;0;0;1;1;1999;1;1;MADRID;1;0;0;2021;22;0;;0;B;0;1;0;0;0;0;0;B;0;1;0;0;0;0;0;0;0;0;0;0;1;B;0;1;0;B;0;A - G;1;0;0;0;0;0;1;0;A;1;0;0;A;1;0;0;0;A;1;0;0;0;A;1;0;0;0;B;0;4;0;0;0;1;0;0;0
0;1;10;0;0;0;0;0;0;0;0;0;1;1;2006;1;1;MADRID;1;0;0;2021;15;0;;0;A;1;0;0;0;0;0;0;E;0;0;0;0;1;0;0;0;0;0;0;0;1;B;0;1;0;A;1;A - C - D - F - G;1;0;1;1;0;1;1;0;A;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;1;0;0;B;0;3;0;0;0;0;1;0;0
0;0;5;0;0;0;0;1;0;0;0;0;0;1;1999;0;1;MADRID;1;0;0;2021;22;2021;22;0;B;0;1;0;0;0;0;0;A - C - D - E - K - L;1;0;1;1;1;0;0;0;0;0;1;1;1;B;0;1;0;A;1;F - H;0;0;0;0;0;1;0;1;B;0;1;0;B;0;1;0;0;A;1;0;0;0;B;0;1;0;0;B;0;6;0;1;0;0;0;0;0
0;0;7;0;0;0;0;0;0;1;0;0;0;1;1998;0;1;MADRID;1;0;0;2021;23;2021;23;0;C;0;0;1;0;0;0;0;H;0;0;0;0;0;0;0;1;0;0;0;0;1;B;0;1;0;B;0;D - F - G;0;0;0;1;0;1;1;0;A;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;1;0;0;B;0;5;0;0;1;0;0;0;0
0;1;10;0;0;0;0;0;0;0;0;0;1;1;2003;1;1;MADRID;1;0;0;2021;18;0;;0;E;0;0;0;0;1;0;0;C - G;0;0;1;0;0;0;1;0;0;0;0;0;0;B;0;1;0;B;0;A - B - E - F - G;1;1;0;0;1;1;1;0;A;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;1;0;0;B;0;4;0;0;0;1;0;0;0
0;0;10;0;0;0;0;0;0;0;0;0;1;0;2002;0;1;MADRID;1;0;0;2021;19;2021;19;0;A;1;0;0;0;0;0;0;D;0;0;0;1;0;0;0;0;0;0;0;0;1;B;0;1;0;B;0;A - B - G;1;1;0;0;0;0;1;0;A;1;0;0;B;0;1;0;0;A;1;0;0;0;B;0;1;0;0;B;0;4;0;0;0;1;0;0;0
0;1;7;0;0;0;0;0;0;1;0;0;0;1;1998;0;1;MADRID;1;0;0;2021;23;0;;0;A;1;0;0;0;0;0;0;E;0;0;0;0;1;0;0;0;0;0;0;0;1;A;1;0;0;B;0;A - F;1;0;0;0;0;1;0;0;A;1;0;0;B;0;1;0;0;A;1;0;0;0;B;0;1;0;0;B;0;6;0;1;0;0;0;0;0
1;1;10;0;0;0;0;0;0;0;0;0;1;1;2001;1;1;MADRID;1;0;0;2020;19;0;;0;B;0;1;0;0;0;0;0;J;0;0;0;0;0;0;0;0;0;1;0;0;1;B;0;1;0;B;0;B;0;1;0;0;0;0;0;0;A;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;1;0;0;B;0;4;0;0;0;1;0;0;0
1;0;6;0;0;0;0;0;1;0;0;0;0;0;2000;1;1;ARANJUEZ;0;0;1;2020;20;2021;21;0;E;0;0;0;0;1;0;0;D - E;0;0;0;1;1;0;0;0;0;0;0;0;1;A;1;0;0;B;0;A - D - F - G - H;1;0;0;1;0;1;1;1;A;1;0;0;B;0;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;4;0;0;0;1;0;0;0
1;0;6;0;0;0;0;0;1;0;0;0;0;1;2000;1;1;MADRID;1;0;0;2020;20;0;;1;A;1;0;0;0;0;0;0;A;1;0;0;0;0;0;0;0;0;0;0;0;0;B;0;1;0;A;1;E;0;0;0;0;1;0;0;0;A;1;0;0;B;0;1;0;0;D;0;0;0;1;C;0;0;1;0;B;0;3;0;0;0;0;1;0;0
1;1;10;0;0;0;0;0;0;0;0;0;1;1;2000;0;1;MADRID;1;0;0;2020;20;0;;0;C;0;0;1;0;0;0;0;D - E - J;0;0;0;1;1;0;0;0;0;1;0;0;1;B;0;1;0;B;0;B - E - G;0;1;0;0;1;0;1;0;A;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;1;0;0;B;0;5;0;0;1;0;0;0;0
1;1;5;0;0;0;0;1;0;0;0;0;0;1;1993;0;1;MADRID;1;0;0;2020;27;0;;0;B;0;1;0;0;0;0;0;E;0;0;0;0;1;0;0;0;0;0;0;0;1;B;0;1;0;B;0;A - B - D - E - F - G;1;1;0;1;1;1;1;0;A;1;0;0;B;0;1;0;0;A;1;0;0;0;B;0;1;0;0;B;0;5;0;0;1;0;0;0;0
1;1;10;0;0;0;0;0;0;0;0;0;1;1;1999;1;1;MADRID;1;0;0;2020;21;0;;0;C;0;0;1;0;0;0;0;K;0;0;0;0;0;0;0;0;0;0;1;0;1;A;1;0;0;A;1;A - B - F - G - H;1;1;0;0;0;1;1;1;A;1;0;0;B;0;1;0;0;A;1;0;0;0;A;1;0;0;0;B;0;1;1;0;0;0;0;0;0
1;1;10;0;0;0;0;0;0;0;0;0;1;1;2002;0;1;MADRID;1;0;0;2020;18;0;;0;E;0;0;0;0;1;0;0;E;0;0;0;0;1;0;0;0;0;0;0;0;0;B;0;1;0;B;0;B - D - G;0;1;0;1;0;0;1;0;A;1;0;0;C;0;0;1;0;A;1;0;0;0;B;0;1;0;0;C;0;5;0;0;1;0;0;0;0
1;1;6;0;0;0;0;0;1;0;0;0;0;1;1986;0;1;MADRID;1;0;0;2020;34;0;;0;C;0;0;1;0;0;0;0;D - F - K;0;0;0;1;0;1;0;0;0;0;1;0;1;A;1;0;0;B;0;E - F - G;0;0;0;0;1;1;1;0;A;1;0;0;D;0;0;0;1;A;1;0;0;0;A;1;0;0;0;B;0;4;0;0;0;1;0;0;0
