Seniority;Status;Category;FirstDivision;SecondDivision;RFEF1;RFEF2;RFEF3;Preferent;Regional1;Regional2;Regional3;Junior;Male;Sex;YearBorn;Age;DateBorn;MadridBorn;PlaceBorn;Spanish;PostCode;City;MainRef;AssRef;Role;textCategory;MadridOffice;AlcalaOffice;AranjuezOffice;Office;;Weight;Height;Profession;StartYear;StartDate;StartAge;DropYear;DropDate;DropAge;talent
25;0;7;0;0;0;0;0;0;1;0;0;0;1;MASCULINO;1973;48;24/03/1973;0;VALDEPEÑAS;1;28300;Aranjuez;1;0;ARBITRO;PRIMERA AFICIONADOS;0;0;1;ARANJUEZ;;;;ELECTRICISTA;1996;01/02/1996;23;2002;30/06/2002;29;0
3;0;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1994;27;11/11/1994;1;MADRID;1;28053;Madrid;1;0;ARBITRO;A.A. PREFERENTE (ASISTENTES);1;0;0;MADRID;;;;;2018;16/07/2018;24;2020;15/07/2020;26;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2001;20;14/09/2001;1;ALCORCON;1;28921;Alcorcón;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;78;187;;2019;11/02/2019;18;;;;0
7;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1995;26;27/10/1995;0;VALDEPEÑAS;1;28804;Madrid;1;0;ARBITRO;;0;1;0;ALCALA DE HENARES;;;;;2014;19/08/2014;19;2015;30/06/2015;20;0
17;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1985;36;10/06/1985;1;MADRID;1;28040;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2004;03/09/2004;19;2014;30/06/2014;29;0
9;1;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1995;26;16/02/1995;1;MADRID;1;28007;Madrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;Universitario;2012;13/04/2012;17;;;;0
15;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1992;29;16/07/1992;1;MADRID;1;28041;Madrid;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;;;ESTUDIANTE;2006;08/09/2006;14;2014;30/06/2014;22;0
15;0;8;0;0;0;0;0;0;0;1;0;0;1;MASCULINO;1988;33;25/01/1988;0;VITORIA;1;28522;Rivas-Vaciamadrid;1;0;ARBITRO;SEGUNDA REGIONAL;1;0;0;MADRID;;;;Financiero;2006;03/10/2006;18;2019;30/06/2019;31;0
2;1;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;2003;18;02/08/2003;1;MADRID;1;28210;Valdemorillo;1;0;ARBITRO;JUVENIL;1;0;0;MADRID;;64;174;;2019;03/10/2019;16;;;;0
15;1;6;0;0;0;0;0;1;0;0;0;0;1;MASCULINO;1991;30;02/03/1991;1;MADRID;1;28030;Madrid;1;0;ARBITRO;PREFERENTE;1;0;0;MADRID;;70;178;ESTUDIANTE;2006;08/09/2006;15;;;;0
6;1;5;0;0;0;0;1;0;0;0;0;0;1;MASCULINO;1994;27;20/03/1994;1;MADRID;1;28760;Tres Cantos;1;0;ARBITRO;TERCERA RFEF;1;0;0;MADRID;;70;1.77;Auditor;2015;28/10/2015;21;;;;1
12;0;10;0;0;0;0;0;0;0;0;0;1;1;MASCULINO;1991;30;12/06/1991;1;MADRID;1;28806;Madrid;1;0;ARBITRO;JUVENIL;0;1;0;ALCALA DE HENARES;;68;1.73;;2009;01/01/2009;18;2015;30/06/2015;24;0
